"","pm","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"1072",0.0052,661,7,11,0.0122222222222222,0.00777777777777778,38,0.0422222222222222,2.71428571428571,0.00444444444444444,1.57142857142857,1.13389341902768,1,4,7.92976605068591,3.78571428571429,0.566946709513841,2.5,4,1.08333333333333,0.144337567297406,1,1.33333333333333,1.66096404744368,0.479469242237227,1.32192809488736,2,0,0,0,0,0,0,0.0731707317073171,20,0.999969135802469,32400,0.0277777777777778,4.83333333333333
"1073",0.0052,667,8,45,0.05,0.00888888888888889,118,0.131111111111111,4.21428571428571,0.0188888888888889,5.625,7.02927551641805,1,17,5.33983398376883,3.43172268907563,0.840215327450826,1.88235294117647,4,1.40972222222222,0.708313880840893,1,3,1.60209008835607,0.169431147861954,1.46790325270936,1.79248125036058,0,0,0,0,0,0,0.208053691275168,40.7894736842105,0.999260493827161,1352.25375626043,0.665555555555556,7.15783393906837
"1074",0.0052,686,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1075",0.0052,721,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1076",0.0052,739,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1077",0.0052,764,3,3,0.00333333333333333,0.00333333333333333,12,0.0133333333333333,1.5,0.00111111111111111,1,0,1,1,10.121576876138,4,0,4,4,1,0,1,1,NA,NA,Inf,-Inf,0,0,0,0,0,0,0,0,0.999996296296296,270000,0.00333333333333333,NA
"1078",0.0052,824,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1079",0.0052,826,1,5,0.00555555555555556,0.00111111111111111,16,0.0177777777777778,1.6,0.00555555555555556,5,NA,5,5,6.62421409644295,3.2,NA,3.2,3.2,1.6,NA,1.6,1.6,1.72270623229357,NA,1.72270623229357,1.72270623229357,0,0,0,NA,0,0,0.111111111111111,40,0.999969135802469,32400,0.0277777777777778,5.34360191016707
"1080",0.0052,854,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
"1081",0.0052,855,5,13,0.0144444444444444,0.00555555555555556,38,0.0422222222222222,2.375,0.00777777777777778,2.6,2.50998007960223,1,7,6.27007458200936,3.31428571428571,0.649960752347276,2.57142857142857,4,1.1,0.223606797749979,1,1.5,1.29524525496097,0.217061046311721,1.16992500144231,1.54588576199827,0,0,0,0,0,0,0.155555555555556,38.8888888888889,0.999927160493827,13728.813559322,0.0655555555555556,5.45256112892798
"1082",0.0052,857,3,7,0.00777777777777778,0.00333333333333333,18,0.02,1.5,0.00555555555555556,2.33333333333333,2.3094010767585,1,5,5.54147396681423,3.33333333333333,1.15470053837925,2,4,1,0,1,1,1.13864688385321,NA,1.13864688385321,1.13864688385321,0,0,0,0,0,0,0.217391304347826,62.5,0.999966666666667,30000,0.03,5.34360191016707
"1083",0.0052,897,1,2,0.00222222222222222,0.00111111111111111,6,0.00666666666666667,1,0.00222222222222222,2,NA,2,2,6.81369690625718,3,NA,3,3,1,NA,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,NA,0,0,0.142857142857143,100,0.999995061728395,202500,0.00444444444444444,2.83130111519671
"1084",0.0053,0,20,498,0.553333333333333,0.0222222222222222,616,0.684444444444444,6.84444444444444,0.515555555555556,24.9,103.377641886944,1,464,2.47214340318203,3.58288270637409,0.761005270899832,1.08189655172414,4,1.29951298701299,1.07585091342878,1,5.70454545454545,1.34668233827528,0.246148819808118,1.16992500144231,1.73438895790733,93,0.103333333333333,4.65,20.795432190748,0,93,0.52760736196319,72.3449001051525,0.73400987654321,3.75953808736981,239.391111111111,9.21147305781894
"1085",0.0053,1,4,9,0.01,0.00444444444444444,28,0.0311111111111111,2.33333333333333,0.00444444444444444,2.25,1.5,1,4,6.81957173107688,3.41666666666667,0.687184270936277,2.66666666666667,4,1.125,0.25,1,1.5,1.42341100393204,0.228468317780848,1.26185950714291,1.58496250072116,0,0,0,0,0,0,0.125,36.3636363636364,0.999966666666667,30000,0.03,4.48631561299829
"1086",0.0053,30,4,24,0.0266666666666667,0.00444444444444444,70,0.0777777777777778,3.5,0.0111111111111111,6,3.65148371670111,2,10,5.97700663496532,3.1375,0.58505697728227,2.75,4,1.66666666666667,0.304290309725092,1.33333333333333,2,1.7286949149603,0.185904782616346,1.58496250072116,2,0,0,0,0,0,0,0.156626506024096,34.2105263157895,0.999772839506173,4402.17391304348,0.204444444444444,6.28086705299673
"1087",0.0053,45,1,1,0.00111111111111111,0.00111111111111111,4,0.00444444444444444,1,0.00111111111111111,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.999998765432099,810000,0.00111111111111111,NA
